RepeatId,GenerationId,popCount,aliveCount,totalCount,generations,treeDepth,nodeCount,leafCount,branching,subcloneTotal,subcloneSelect,clonalDiversity,treeBalance,meanDriversPerCell
111,0,1,114,629,1000,0,1,1,0,1,1,1,0,1
112,0,1,114,573,1000,0,1,1,0,1,1,1,0,1
113,0,1,104,603,1000,0,1,1,0,1,1,1,0,1
114,0,1,131,794,1000,0,1,1,0,1,1,1,0,1
115,0,1,127,707,1000,0,1,1,0,1,1,1,0,1
116,0,1,72,535,1000,0,1,1,0,1,1,1,0,1
117,0,1,75,554,1000,0,1,1,0,1,1,1,0,1
118,0,1,54,461,1000,0,1,1,0,1,1,1,0,1
119,0,1,61,547,1000,0,1,1,0,1,1,1,0,1
120,0,1,118,576,1000,0,1,1,0,1,1,1,0,1
121,0,1,124,674,1000,0,1,1,0,1,1,1,0,1
122,0,1,79,522,1000,0,1,1,0,1,1,1,0,1
123,0,1,61,516,1000,0,1,1,0,1,1,1,0,1
124,0,1,125,652,1000,0,1,1,0,1,1,1,0,1
125,0,1,78,501,1000,0,1,1,0,1,1,1,0,1
126,0,1,98,638,1000,0,1,1,0,1,1,1,0,1
127,0,1,93,617,1000,0,1,1,0,1,1,1,0,1
128,0,1,208,863,1000,0,1,1,0,1,1,1,0,1
129,0,1,165,868,1000,0,1,1,0,1,1,1,0,1
130,0,1,142,707,1000,0,1,1,0,1,1,1,0,1
131,0,1,107,629,1000,0,1,1,0,1,1,1,0,1
132,0,1,134,752,1000,0,1,1,0,1,1,1,0,1
133,0,1,64,545,1000,0,1,1,0,1,1,1,0,1
134,0,1,115,692,1000,0,1,1,0,1,1,1,0,1
135,0,1,121,634,1000,0,1,1,0,1,1,1,0,1
136,0,1,69,520,1000,0,1,1,0,1,1,1,0,1
137,0,1,97,605,1000,0,1,1,0,1,1,1,0,1
138,0,1,137,726,1000,0,1,1,0,1,1,1,0,1
139,0,1,108,706,1000,0,1,1,0,1,1,1,0,1
140,0,1,98,594,1000,0,1,1,0,1,1,1,0,1
141,0,1,57,513,1000,0,1,1,0,1,1,1,0,1
142,0,1,127,634,1000,0,1,1,0,1,1,1,0,1
143,0,1,105,600,1000,0,1,1,0,1,1,1,0,1
144,0,1,76,523,1000,0,1,1,0,1,1,1,0,1
145,0,1,81,531,1000,0,1,1,0,1,1,1,0,1
146,0,1,97,535,1000,0,1,1,0,1,1,1,0,1
147,0,1,114,754,1000,0,1,1,0,1,1,1,0,1
148,0,1,164,763,1000,0,1,1,0,1,1,1,0,1
149,0,1,77,547,1000,0,1,1,0,1,1,1,0,1
150,0,1,38,397,1000,0,1,1,0,1,1,1,0,1
151,0,1,99,645,1000,0,1,1,0,1,1,1,0,1
152,0,1,71,498,1000,0,1,1,0,1,1,1,0,1
153,0,1,145,751,1000,0,1,1,0,1,1,1,0,1
154,0,1,72,470,1000,0,1,1,0,1,1,1,0,1
155,0,1,97,609,1000,0,1,1,0,1,1,1,0,1
156,0,1,73,504,1000,0,1,1,0,1,1,1,0,1
157,0,1,195,881,1000,0,1,1,0,1,1,1,0,1
158,0,1,76,513,1000,0,1,1,0,1,1,1,0,1
159,0,1,72,528,1000,0,1,1,0,1,1,1,0,1
160,0,1,103,597,1000,0,1,1,0,1,1,1,0,1
161,0,1,114,631,1000,0,1,1,0,1,1,1,0,1
162,0,1,78,524,1000,0,1,1,0,1,1,1,0,1
163,0,1,77,577,1000,0,1,1,0,1,1,1,0,1
164,0,1,77,555,1000,0,1,1,0,1,1,1,0,1
165,0,1,114,642,1000,0,1,1,0,1,1,1,0,1
166,0,1,91,520,1000,0,1,1,0,1,1,1,0,1
167,0,1,101,650,1000,0,1,1,0,1,1,1,0,1
168,0,1,87,480,1000,0,1,1,0,1,1,1,0,1
169,0,1,126,774,1000,0,1,1,0,1,1,1,0,1
170,0,1,49,398,1000,0,1,1,0,1,1,1,0,1
171,0,1,101,531,1000,0,1,1,0,1,1,1,0,1
172,0,1,110,667,1000,0,1,1,0,1,1,1,0,1
173,0,1,117,604,1000,0,1,1,0,1,1,1,0,1
174,0,1,106,672,1000,0,1,1,0,1,1,1,0,1
175,0,1,114,708,1000,0,1,1,0,1,1,1,0,1
176,0,1,54,457,1000,0,1,1,0,1,1,1,0,1
